step	simulationTime	id	
0	2025-07-01T00:00:00.000	10	
1	2025-07-01T00:05:00.000	10	
2	2025-07-01T00:10:00.000	10	
3	2025-07-01T00:15:00.000	10	
4	2025-07-01T00:20:00.000	10	
5	2025-07-01T00:25:00.000	10	
6	2025-07-01T00:30:00.000	10	
7	2025-07-01T00:35:00.000	10	
8	2025-07-01T00:40:00.000	10	
9	2025-07-01T00:45:00.000	10	
10	2025-07-01T00:50:00.000	10	
11	2025-07-01T00:55:00.000	10	
12	2025-07-01T01:00:00.000	10	
13	2025-07-01T01:05:00.000	10	
14	2025-07-01T01:10:00.000	10	
15	2025-07-01T01:15:00.000	10	
16	2025-07-01T01:20:00.000	10	
17	2025-07-01T01:25:00.000	10	
18	2025-07-01T01:30:00.000	10	
19	2025-07-01T01:35:00.000	10	
20	2025-07-01T01:40:00.000	10	
21	2025-07-01T01:45:00.000	10	
22	2025-07-01T01:50:00.000	10	
23	2025-07-01T01:55:00.000	10	
24	2025-07-01T02:00:00.000	10	
25	2025-07-01T02:05:00.000	10	
26	2025-07-01T02:10:00.000	10	
27	2025-07-01T02:15:00.000	10	
28	2025-07-01T02:20:00.000	10	
29	2025-07-01T02:25:00.000	10	
30	2025-07-01T02:30:00.000	10	
31	2025-07-01T02:35:00.000	10	
32	2025-07-01T02:40:00.000	10	
33	2025-07-01T02:45:00.000	10	
34	2025-07-01T02:50:00.000	10	
35	2025-07-01T02:55:00.000	10	
36	2025-07-01T03:00:00.000	10	
37	2025-07-01T03:05:00.000	10	
38	2025-07-01T03:10:00.000	10	
39	2025-07-01T03:15:00.000	10	
40	2025-07-01T03:20:00.000	10	
41	2025-07-01T03:25:00.000	10	
42	2025-07-01T03:30:00.000	10	
43	2025-07-01T03:35:00.000	10	
44	2025-07-01T03:40:00.000	10	
45	2025-07-01T03:45:00.000	10	
46	2025-07-01T03:50:00.000	10	
47	2025-07-01T03:55:00.000	10	
48	2025-07-01T04:00:00.000	10	
49	2025-07-01T04:05:00.000	10	
50	2025-07-01T04:10:00.000	10	
51	2025-07-01T04:15:00.000	10	
52	2025-07-01T04:20:00.000	10	
53	2025-07-01T04:25:00.000	10	
54	2025-07-01T04:30:00.000	10	
55	2025-07-01T04:35:00.000	10	
56	2025-07-01T04:40:00.000	10	
57	2025-07-01T04:45:00.000	10	
58	2025-07-01T04:50:00.000	10	
59	2025-07-01T04:55:00.000	10	
60	2025-07-01T05:00:00.000	10	
61	2025-07-01T05:05:00.000	10	
62	2025-07-01T05:10:00.000	10	
63	2025-07-01T05:15:00.000	10	
64	2025-07-01T05:20:00.000	10	
65	2025-07-01T05:25:00.000	10	
66	2025-07-01T05:30:00.000	10	
67	2025-07-01T05:35:00.000	10	
68	2025-07-01T05:40:00.000	10	
69	2025-07-01T05:45:00.000	10	
70	2025-07-01T05:50:00.000	10	
71	2025-07-01T05:55:00.000	10	
72	2025-07-01T06:00:00.000	10	
73	2025-07-01T06:05:00.000	10	
74	2025-07-01T06:10:00.000	10	
75	2025-07-01T06:15:00.000	10	
76	2025-07-01T06:20:00.000	10	
77	2025-07-01T06:25:00.000	10	
78	2025-07-01T06:30:00.000	10	
79	2025-07-01T06:35:00.000	10	
80	2025-07-01T06:40:00.000	10	
81	2025-07-01T06:45:00.000	10	
82	2025-07-01T06:50:00.000	10	
83	2025-07-01T06:55:00.000	10	
84	2025-07-01T07:00:00.000	10	
85	2025-07-01T07:05:00.000	10	
86	2025-07-01T07:10:00.000	10	
87	2025-07-01T07:15:00.000	10	
88	2025-07-01T07:20:00.000	10	
89	2025-07-01T07:25:00.000	10	
90	2025-07-01T07:30:00.000	10	
91	2025-07-01T07:35:00.000	10	
92	2025-07-01T07:40:00.000	10	
93	2025-07-01T07:45:00.000	10	
94	2025-07-01T07:50:00.000	10	
95	2025-07-01T07:55:00.000	10	
